timestamp,users,changesets,map_changes,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,editors
2023-07-09,2.0,25.0,7346.0,6837.0,23.0,6.0,473.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,473.0,4.0,0.0,1.0,"{""id"": 7308, ""josm"": 38}"
2023-07-10,1.0,3.0,525.0,419.0,0.0,0.0,105.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,"{""id"": 525}"
2023-07-11,1.0,2.0,305.0,244.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,"{""id"": 305}"
2023-07-12,1.0,1.0,1785.0,798.0,0.0,897.0,42.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,"{""id"": 1785}"
2023-07-13,2.0,15.0,999.0,825.0,0.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,0.0,"{""id"": 999}"
2023-07-15,5.0,92.0,7443.0,5697.0,131.0,456.0,1038.0,49.0,72.0,0.0,0.0,0.0,0.0,0.0,1028.0,23.0,2.0,17.0,"{""id"": 7443}"
2023-07-16,1.0,4.0,333.0,289.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,"{""id"": 333}"
2023-07-17,22.0,294.0,7743.0,6093.0,108.0,158.0,1342.0,9.0,32.0,1.0,0.0,0.0,0.0,0.0,1341.0,6.0,0.0,1.0,"{""id"": 7743}"
2023-07-18,38.0,348.0,15615.0,13392.0,90.0,12.0,2099.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,2097.0,8.0,0.0,7.0,"{""id"": 15615}"
2023-07-19,1.0,5.0,312.0,246.0,0.0,7.0,53.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,49.0,1.0,4.0,3.0,"{""id"": 312}"
2023-07-21,1.0,11.0,502.0,243.0,121.0,77.0,50.0,2.0,7.0,0.0,0.0,2.0,0.0,0.0,50.0,0.0,0.0,2.0,"{""id"": 502}"
2023-07-22,1.0,15.0,750.0,622.0,1.0,0.0,125.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,1.0,0.0,1.0,"{""id"": 750}"
2023-07-23,2.0,15.0,1027.0,400.0,263.0,228.0,82.0,18.0,36.0,0.0,0.0,0.0,0.0,0.0,80.0,16.0,0.0,0.0,"{""id"": 584, ""josm"": 443}"
2023-07-24,2.0,24.0,1150.0,700.0,94.0,151.0,158.0,16.0,31.0,0.0,0.0,0.0,0.0,0.0,158.0,6.0,0.0,7.0,"{""id"": 1150}"
2023-07-26,2.0,19.0,984.0,645.0,130.0,53.0,132.0,11.0,13.0,0.0,0.0,0.0,0.0,10.0,117.0,1.0,12.0,10.0,"{""id"": 984}"
2023-07-28,2.0,8.0,500.0,216.0,0.0,206.0,50.0,3.0,25.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,"{""id"": 500}"
2023-07-30,3.0,35.0,1740.0,1077.0,281.0,99.0,241.0,20.0,22.0,0.0,0.0,0.0,0.0,0.0,239.0,9.0,2.0,9.0,"{""id"": 1703, ""josm"": 37}"
2023-07-31,2.0,23.0,1479.0,663.0,332.0,271.0,150.0,26.0,37.0,0.0,0.0,0.0,0.0,0.0,148.0,7.0,2.0,18.0,"{""id"": 1479}"
2023-08-01,1.0,26.0,1413.0,1049.0,92.0,13.0,233.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,231.0,0.0,2.0,22.0,"{""id"": 1413}"
2023-08-03,2.0,5.0,832.0,656.0,135.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,0.0,"{""id"": 832}"
2023-08-05,1.0,4.0,220.0,131.0,66.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,"{""id"": 220}"
2023-08-06,1.0,1.0,100.0,0.0,0.0,80.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,,,,"{""josm"": 100}"
2023-08-07,3.0,12.0,619.0,511.0,25.0,0.0,77.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,54.0,1.0,6.0,4.0,"{""id"": 619}"
2023-08-08,2.0,11.0,464.0,383.0,0.0,0.0,78.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,3.0,3.0,"{""id"": 464}"
2023-08-09,1.0,8.0,876.0,706.0,12.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,"{""id"": 876}"
